DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
01M292,Henry Street School for International Studies ,Medio,391,425,385
01M448,University Neighborhood High School ,Medio,394,419,387
01M450,East Side Community High School ,Medio,418,431,402
01M458,SATELLITE ACADEMY FORSYTH ST ,Bajo,385,370,378
01M509,CMSP HIGH SCHOOL ,Bajo,,,
01M515,Lower East Side Preparatory High School ,Alto,314,532,314
01M539,"New Explorations into Sci, Tech and Math HS ",Medio,568,583,568
01M650,CASCADES HIGH SCHOOL ,Medio,411,401,401
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,Alto,630,608,630
02M047,AMERICAN SIGN LANG ENG DUAL ,Bajo,405,415,385
02M288,FOOD AND FNANCE HIGH SCHOOL ,Medio,422,412,407
02M294,HIGH SCHOOL FOR HIST AND COMM ,Medio,382,364,366
02M296,High School of Hospitality Management ,Medio,397,415,391
02M298,PACE HIGH SCHOOL ,Medio,424,448,423
02M300,Urban Assembly School of Design and Construction ,Medio,405,446,415
02M303,The Facing History School ,Medio,381,373,377
02M305,Urban Assembly Academy of Government and Law ,Medio,411,406,411
02M308,LOWER MANHATTAN ARTS ACADEMY ,Medio,409,381,412
02M313,The James Baldwin School ,Medio,421,419,394
02M316,Urban Assembly School of Business for Young Women ,Medio,401,409,391
02M374,GRAMERCY ARTS HIGH SCHOOL ,Medio,395,376,386
02M376,NYC iSchool ,Bajo,,,
02M400,HIGH SCHOOL ENVRNMNTL STUDIES ,Alto,465,480,448
02M407,Institute for Collaborative Education ,Medio,484,478,472
02M408,Professional Performng Arts School ,Medio,495,465,499
02M411,Baruch College Campus High School ,Medio,523,583,528
02M412,New York City Laboratory School Collab Studies ,Alto,561,597,567
02M413,SCHOOL OF THE FUTURE ,Medio,475,488,466
02M414,NEW YORK CITY MUSEUM SCHOOL ,Medio,454,448,435
02M416,ELEANOR ROOSEVELT HIGH SCHOOL ,Alto,555,596,567
02M418,Millennium High School ,Alto,512,554,523
02M419,LANDMARK SCHOOL ,Medio,369,370,359
02M420,HIGH SCHOOL HLTH PROF HUMAN ,Alto,446,458,440
02M425,HIGH SCHOOL LEADERSHIP PUB SVC ,Medio,419,429,406
02M429,LEGACY SCH INTEGRATED STUDIES ,Medio,379,356,354
02M439,MANHATTAN VILLAGE ACADEMY ,Medio,465,479,472
02M440,Bayard Rustin High School Humanities ,Alto,387,394,379
02M445,Seward Park High School ,Bajo,,,
02M449,VANGUARD HIGH SCHOOL ,Medio,367,395,373
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL ,Medio,418,463,415
02M460,WASHINGTON IRVING HIGH SCHOOL ,Alto,381,385,368
02M473,YABC at Washington Irving High School ,Bajo,,,
02M475,STUYVESANT HIGH SCHOOL ,Alto,674,735,678
02M489,HS of Economics And Finance ,Alto,451,503,453
02M500,UNITY HIGH SCHOOL ,Medio,371,369,368
02M519,TALENT UNLIMITED HIGH SCHOOL ,Alto,465,454,461
02M520,MURRY BERGTRAUM HIGH SCHOOL ,Alto,411,439,396
02M529,Jacqueline Kennedy Onassis High School ,Medio,420,424,398
02M531,NEW YORK CITY PUB SCH REP COMP ,Medio,415,405,397
02M535,Park West High School ,Bajo,,,
02M542,MANHATTAN BRIDGE HIGH SCHOOL ,Medio,345,380,325
02M543,NEW DESIGN HIGH SCHOOL ,Medio,390,385,387
02M544,INDEPENDENCE HIGH SCHOOL ,Bajo,404,419,395
02M545,Dual Language and Asian Studies High School ,Medio,416,612,419
02M550,Liberty High School Academy for Newcomers ,Medio,343,465,362
02M551,New York Harbor High School ,Medio,372,369,368
02M560,City as School ,Medio,468,441,434
02M565,URBAN ACADEMY ,Medio,513,460,502
02M570,Satellite Academy High School ,Bajo,400,336,376
02M575,Manhattan Comprehensive Night Day High School ,Alto,355,475,339
02M580,Richard R Green High School of Teaching ,Medio,425,429,419
02M586,HARVEY MILK SCHOOL ,Bajo,429,382,416
02M600,HIGH SCHOOL FASHION INDUSTRIES ,Alto,419,420,413
02M605,HUMANITIES PREPARATORY ACADEMY ,Medio,433,405,417
02M615,Chelsea Career and Technical Education High School ,Medio,393,412,376
02M620,NORMAN THOMAS HIGH SCHOOL ,Alto,378,387,370
02M625,HS of Graphic Commnctn And Art ,Alto,370,378,360
02M630,HIGH SCHOOL OF ART AND DESIGN ,Alto,427,423,418
02M655,LIFE SCIENCES SECONDARY SCHOOL ,Medio,399,389,383
02M690,SCHOOL FOR THE PHYSICAL CITY ,Bajo,382,404,359
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL ,Bajo,406,378,391
03M299,"High School For Arts, Imagination And Inquiry ",Medio,364,378,357
03M307,Urban Assembly School For Media Studies ,Medio,374,363,377
03M404,INNOVATION DIPLOMA PLUS HIGH SCHOOL ,Bajo,,,
03M415,WADLEIGH SECONDARY SCHOOL ,Medio,376,373,371
03M470,LOUIS D BRANDEIS HIGH SCHOOL ,Alto,357,357,345
03M479,BEACON SCHOOL ,Alto,573,563,575
03M485,LAGUARDIA HIGH SCH MUSIC ART ,Alto,558,555,567
03M494,Martin Luther King Jr HS Arts and Technology ,Medio,407,425,397
03M505,Edward A. Reynolds West Side High School ,Bajo,410,407,388
03M541,MANHATTAN/HUNTER COLL HS SCI ,Medio,481,525,469
03M860,FREDERICK DOUGLAS ACADEMY II ,Medio,414,410,406
04M409,COALITION SCH SOCIAL CHANGE ,Medio,390,372,383
04M435,Manhattan Center for Science and Math ,Alto,485,531,475
04M495,PARK EAST HIGH SCHOOL ,Medio,360,374,362
04M555,CENTRAL PARK SECONDARY SCHOOL ,Medio,362,378,356
04M610,YOUNG WOMEN LEADERSHIP SCHOOL ,Medio,451,445,470
04M610,Young Women's Leadership School of Astoria ,Bajo,,,
04M635,Academy of Environment Science Secondary School ,Medio,380,385,354
04M680,HERITAGE SCHOOL ,Medio,369,385,361
04M695,URBAN PEACE ACADEMY ,Bajo,366,382,362
05M285,HARLEM RENAISSANCE HIGH SCHOOL ,Bajo,402,394,367
05M304,MOTT HALL HIGH SCHOOL ,Medio,424,421,410
05M367,Academy for Social Action ,Bajo,,,
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,Medio,349,370,363
05M469,CHOIR ACADEMY OF HARLEM ,Bajo,420,369,401
05M499,FREDERICK DOUGLASS ACADEMY ,Alto,465,481,466
05M670,THURGOOD MARSHALL ACADEMY ,Medio,423,434,404
05M685,Bread & Rose Intergrated Arts High School ,Medio,364,378,359
05M692,High School For Math Science Engineering City Coll ,Alto,592,627,575
06M293,MS 293 City College Academy of the Arts ,Bajo,,,
06M346,Community Health Academy Heights ,Bajo,,,
06M348,MS 348 Washington Heights Expeditionary Learning S ,Bajo,,,
06M457,YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,Bajo,,,
06M462,HIGH SCHOOL FOR INTL BUS/FIN ,Medio,383,384,379
06M463,HS for Media and Communications-George Washingto ,Medio,366,376,353
06M467,High School for Law and Public Service ,Alto,388,388,378
06M468,HIGH SCHOOL FOR HLTH CARER/SER ,Bajo,385,417,373
06M540,A Philip Randolph Campus High School ,Alto,436,451,421
06M552,GREGORIO LUPERON PREP SCHOOL ,Medio,342,384,333
07X221,SOUTH BRONX PREPARATORY ,Medio,399,393,382
07X321,CROTANA ACADEMY HIGH SCHOOL ,Bajo,,,
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,Medio,322,335,327
07X379,Jill Chaifetz Transfer High School ,Bajo,,,
07X381,BRONX HAVEN HIGH SCHOOL ,Bajo,335,342,372
